uri,method,입력 데이터 구상,request body,response body
/api/sign-up,POST,id-비빌번호-이메일-넥네임-메모,
/api/login,GET,id-비밀번호,
/api/articles,GET,필터:제목-본문-id-닉네임-해시태그,
/api/articles/{article-id},GET,,
/api/articles,POST,제목-본문-id-해시태그,
/api/articles/{article-id},PUT-PATCH,제목-본문-해시태그,
/api/articles/{article-id},DELETE,게시글id,
/api/articleComments,GET,필터:본문-id-닉네임,
/api/articleComments/{article-comment-id},GET,,
/api/articles/{article-id}/articleComments,GET,필터:본문,
/api/articles/{article-id}/articleComments/{article-comment-id},GET,,
/api/articles/{article-id}/articleComments,POST,본문-id,
/api/articles/{article-id}/articleComments/{article-comment-id},PUT-PATCH,본문,
/api/articles/{article-id}/articleComments/{article-comment-id},DELETE,댓글 id,
